Country Name,Especies Aves Ameacadas (2017),Especies Peixes Ameacadas (2017),Especies Mamiferos Ameacadas (2017),% Acesso eletricidade (2006),% Acesso eletricidade (2016),Consumo eletricidade kWh per capita (2006),Consumo eletricidade kWh per capita (2014),PIB (US$) (1990),PIB (US$) (2000),PIB (US$) (2005),PIB (US$) (2016),Mortalidade infantil por mil (1990),Mortalidade infantil por mil (2000),Mortalidade infantil por mil (2005),Mortalidade infantil por mil (2016)
Afghanistan,16.0,5.0,11.0,28.228612899780302,84.1371383666992,,,,,6275073571.54659,19469022207.6852,177.3,129.7,110.3,70.4
Albania,8.0,44.0,3.0,100.0,100.0,1218.36014605619,2309.3665025558103,2101624962.5,3632043907.9773297,8158548716.68554,11883682170.8236,40.0,26.0,20.4,13.5
Algeria,15.0,40.0,14.0,98.7744140625,99.43956756591801,858.934010580582,1356.2645537083501,62045099642.7774,54790245600.5846,103198228458.58801,159049096745.249,49.0,39.7,33.5,25.2
Andorra,3.0,0.0,2.0,100.0,100.0,,,1029048481.88051,1434429703.33518,3255789080.96008,2877311946.90265,8.8,4.6,3.8,2.7
Angola,31.0,52.0,18.0,29.1036758422852,40.5206069946289,143.91188328687,312.476017317085,11236275842.7358,9129634978.33773,28233712737.97,95337203468.1156,221.4,207.0,167.2,82.5
Antigua and Barbuda,2.0,30.0,2.0,92.4344024658203,97.3546676635742,,,459469074.07407403,830158777.777778,1022191296.2963,1460144703.7037,26.1,14.9,12.1,8.5
Argentina,52.0,41.0,37.0,97.1672210693359,100.0,2357.95291526127,3052.3819367465303,141352368724.031,284203750000.0,198737095012.28198,554860945013.62,28.8,19.4,16.6,11.1
Armenia,14.0,3.0,9.0,99.2657318115234,100.0,1639.68227142133,1965.78373282133,2256838857.60997,1911563668.8500602,4900469950.09033,10546135160.031,49.7,30.1,23.4,13.4
Australia,50.0,123.0,63.0,100.0,100.0,10490.48454191,10059.207446790899,310838014621.008,415034227218.489,692641708013.833,1208039015868.39,9.2,6.2,5.7,3.7
Austria,13.0,11.0,3.0,100.0,100.0,8244.40195190479,8355.84195182134,166463386663.439,196799778883.36102,315974418604.651,390799991147.46796,9.5,5.5,4.9,3.5
Azerbaijan,17.0,12.0,8.0,99.5,100.0,2552.2862143543302,2202.39391828846,8858006042.29607,5272798390.70183,13245716099.0057,37867518957.1975,94.5,74.3,51.9,30.9
"Bahamas, The",9.0,45.0,6.0,97.90076446533199,100.0,,,3166000000.0,8076470000.0,9836200000.0,11838800000.0,23.5,16.1,16.2,10.6
Bahrain,7.0,13.0,3.0,100.0,100.0,21508.4504191299,19592.2319490391,4229787234.04255,9062906914.89362,15968726861.7021,32152686170.2128,23.0,12.5,10.6,7.6
Bangladesh,35.0,29.0,37.0,50.5251024590164,75.92,190.915464451173,310.39122612746104,31598341233.559,53369787318.6245,69442943089.4309,221415162445.648,143.8,87.4,66.5,34.2
Barbados,3.0,30.0,3.0,100.0,100.0,,,2023318251.8769,3121500000.0,3897300000.0,4529050000.0,17.8,14.8,15.4,12.3
Belarus,9.0,2.0,4.0,100.0,100.0,3365.9818651350106,3679.9788400689004,21650000000.0,12738912133.8912,30207567316.6202,47722657820.6675,15.2,12.8,8.5,3.9
Belgium,8.0,13.0,2.0,100.0,100.0,8683.671285001321,7709.123077882471,206430841501.69,237904919845.21802,387365750528.541,467545548764.57104,10.0,5.9,5.0,3.9
Belize,5.0,44.0,9.0,90.9885308574549,92.2143173217773,,,413050000.0,832072450.0,1114222550.0,1820158550.0,39.0,24.1,21.0,14.9
Benin,10.0,39.0,14.0,27.9,41.402614593505895,75.0891820950393,100.226389151363,1959965243.7626898,2569186642.86999,4803702821.08056,8573159696.6112795,178.4,144.4,124.4,97.6
Bhutan,19.0,3.0,25.0,61.181789398193395,100.0,,,299787275.842376,439158233.199822,818869145.124717,2212638830.3943896,127.6,77.4,57.9,32.4
Bolivia,55.0,8.0,20.0,76.211281,93.0391311645508,513.06998110808,752.6870216591141,4867582620.20708,8397912509.09679,9549077869.1065,33941126193.9219,123.8,79.8,61.1,36.9
Bosnia and Herzegovina,7.0,35.0,4.0,99.3872769868445,100.0,2375.7311875639602,3365.6739396108,,5505984455.95855,11225138297.1959,16911088173.7458,18.2,9.9,8.8,6.0
Botswana,15.0,2.0,11.0,39.4554214477539,60.6883964538574,1455.76089644726,1748.61533367795,3790567051.8677797,5788329609.15755,9931134940.51346,15648700274.4804,53.9,83.7,69.8,40.6
Brazil,172.0,90.0,81.0,97.594314,100.0,2063.09731659316,2601.36550571407,461951782000.0,655420645476.906,891630175813.342,1793989048409.29,64.2,35.8,26.1,15.1
Brunei Darussalam,25.0,14.0,33.0,100.0,100.0,8432.140445644829,10242.7957950372,3520551724.13793,6001153306.2645,9531402847.87311,11400653959.8368,13.3,11.8,11.5,9.9
Bulgaria,17.0,22.0,8.0,100.0,100.0,4366.912765151839,4708.92745757231,20632090909.0909,13153016530.8718,29636617749.8253,53240893665.1584,18.4,17.5,13.3,7.6
Burkina Faso,10.0,4.0,9.0,12.5818758010864,19.1647129058838,,,3101301780.95067,2628920056.1009803,5462709498.45119,11448781714.3131,198.6,180.6,154.6,84.6
Burundi,14.0,17.0,14.0,4.58806562423706,7.58847713470459,,,1132101252.5181699,870486065.883137,1117257279.46188,3007029030.4001,170.1,151.0,123.9,71.7
Cabo Verde,6.0,35.0,4.0,69.29824066162111,92.6115875244141,,,306891107.262039,539227277.6264111,971977088.1569141,1638927335.6211,62.5,36.0,27.9,21.4
Cambodia,28.0,49.0,39.0,28.084947586059602,49.770656585693395,80.7451770527253,271.433239537706,,3677897739.0762796,6293046161.832621,20016747754.0192,116.1,107.0,65.5,30.6
Cameroon,26.0,121.0,47.0,49.0,60.0747680664063,250.117852045765,280.666679136744,11151578050.7356,10083937740.0624,17944084201.4901,32217537942.6644,143.1,165.7,136.3,79.7
Canada,21.0,43.0,14.0,100.0,100.0,16508.6786342429,15545.5351105609,593929550908.468,742293448252.643,1169357979864.66,1535767736946.18,8.3,6.2,6.1,4.9
Central African Republic,14.0,3.0,16.0,7.80516932525804,13.985112190246598,,,1440711395.67069,914500299.097034,1337362392.15225,1755468136.86556,173.8,172.3,163.5,123.6
Chad,14.0,1.0,16.0,4.7569284439086905,8.83089828491211,,,1738605558.0543199,1385058161.7674599,6646663561.2656,9412034268.6661,210.8,185.1,168.8,127.3
Chile,34.0,25.0,19.0,99.36810799999999,100.0,3229.26909852773,3911.6492649682896,33113887817.9731,77860932151.8471,122964812046.07301,250036180921.053,19.1,10.9,9.2,8.3
China,93.0,134.0,74.0,98.0668106079102,100.0,2039.0146603407998,3927.04449998901,360857912565.966,1211346869605.24,2285965892360.54,11190992550229.5,53.9,36.9,24.0,9.9
Colombia,126.0,98.0,54.0,95.4662399291992,99.00445556640629,947.127094199566,1289.5696930804902,40274204595.2296,99886577330.7271,146566264837.014,280090999648.115,35.1,25.0,21.6,15.3
Comoros,14.0,10.0,5.0,53.5727195739746,77.8442153930664,,,250030760.75478598,203846427.73873702,380372892.60677403,616654490.413179,125.8,102.9,100.2,73.3
"Congo, Dem. Rep.",39.0,94.0,34.0,10.2286949157715,17.1473789215088,101.833982629613,108.58233117923001,9329305477.45833,19088046305.7971,11964484667.9102,34991160099.7415,183.6,159.8,137.4,94.3
"Congo, Rep.",5.0,57.0,17.0,33.4082412719727,56.5661697387695,122.58075430106199,197.285993454047,2798746050.58228,3219910550.39332,6087003176.11624,7833508878.9666,90.8,117.3,89.8,54.1
Costa Rica,25.0,62.0,11.0,99.14752299999999,100.0,1838.3334176570102,1957.93024807807,7403457319.2047205,14949514585.1585,19952156474.8454,56988989896.6368,16.8,12.9,10.5,8.8
Cote d'Ivoire,22.0,58.0,31.0,53.745677947998,64.3,182.251495833965,276.148566330912,10795850106.9547,10717022462.6859,17084928927.4555,36374849865.0472,150.9,145.7,127.7,91.8
Croatia,14.0,64.0,9.0,100.0,100.0,3635.81081081081,3714.38298844207,,21774273832.1031,45416358501.9835,51338524831.0314,12.8,8.3,6.7,4.7
Cuba,17.0,45.0,11.0,98.97970581054692,100.0,1223.4166912102498,1434.03270363811,28645436569.1489,30565400000.0,42643836074.8,,13.3,8.3,6.8,5.5
Cyprus,7.0,24.0,6.0,100.0,100.0,4238.12707494627,3624.8957527885295,5591130217.66965,10183317624.8822,18703146374.829,20153871681.4159,11.1,6.7,4.9,2.6
Czech Republic,9.0,2.0,3.0,100.0,100.0,6528.53015044089,6258.891037036589,40477403219.5176,61649492816.5201,136280689891.224,195305084919.138,12.1,5.5,4.4,3.2
Denmark,9.0,18.0,2.0,100.0,100.0,6824.74593877224,5858.801536287479,138247261092.977,164158800460.219,264467308109.19,306899653409.601,9.0,5.5,4.8,4.4
Djibouti,12.0,20.0,10.0,55.5,51.7826919555664,,,452328087.28287596,551230861.856506,708633194.726566,1764268468.9399102,117.6,100.2,88.5,64.2
Dominica,6.0,30.0,3.0,89.0959625244141,100.0,,,166322222.222222,335845814.814815,370370370.37037003,581484037.037037,17.1,15.4,16.1,34.0
Dominican Republic,15.0,30.0,6.0,90.118148,100.0,1308.5644760652099,1578.1516617008701,7073674721.12418,24305116729.1851,36119047252.1794,72342967648.3354,59.9,41.0,36.8,30.7
Ecuador,107.0,61.0,45.0,96.315259,99.9368133544922,868.1594675632249,1380.61028558436,15239278100.3502,18327764882.4412,41507085000.0,98613972000.0,56.7,34.5,29.2,20.9
"Egypt, Arab Rep.",14.0,54.0,18.0,99.04,100.0,1311.36448847228,1657.7687198068302,43130416913.4141,99838543960.0763,89685725230.2517,332927833278.038,85.9,46.9,36.1,22.8
El Salvador,6.0,16.0,6.0,89.20146700000001,98.618896484375,820.1136039790781,939.1533991414681,4817542204.02673,11784927700.0,14698001400.0,23912227500.0,59.6,32.5,24.7,15.0
Equatorial Guinea,6.0,44.0,24.0,64.0973358154297,67.889289855957,,,112119406.548331,1045998496.4387199,8217369092.652241,11259559879.052,190.7,151.6,130.8,90.9
Eritrea,19.0,26.0,15.0,35.372486114502,46.6804618835449,57.0494421941609,,,706370815.584416,1098425900.74116,,150.9,88.9,69.2,44.5
Estonia,9.0,5.0,1.0,100.0,100.0,5869.42478894573,6732.36747315611,,5685774808.80862,14006088297.4754,23337907618.5174,17.7,11.0,7.1,2.9
Ethiopia,33.0,14.0,32.0,18.576078414917,42.9,37.3110246379711,69.7157738840151,12175166763.285,8242392103.68061,12401139453.9738,73000980433.9486,203.2,143.7,110.2,58.4
Fiji,14.0,19.0,6.0,83.7439422607422,98.6460494995117,,,1337024782.22702,1684109743.49338,3006725014.78415,4671313314.555779,28.4,22.4,23.1,22.0
Finland,11.0,6.0,2.0,100.0,100.0,17215.0372901645,15249.9893802302,141517648888.198,125539893126.95801,204436015420.96802,238677672281.61102,6.7,4.3,3.8,2.3
France,16.0,52.0,9.0,100.0,100.0,7540.2952978967905,6939.522310814089,1269179616913.63,1362248940482.77,2196126103718.44,2465134297438.91,9.0,5.4,4.6,3.9
Gabon,5.0,72.0,20.0,80.8786392211914,91.39550018310551,935.7411595992371,1172.8873233805,5952293765.84468,5067865320.7979,9578973591.00958,14014278017.4685,92.4,84.6,76.1,47.4
"Gambia, The",12.0,35.0,10.0,35.4163360595703,47.7570877075195,,,317083373.52455896,782915402.421095,624173239.919651,962797146.496008,167.6,117.1,96.6,65.3
Georgia,14.0,11.0,9.0,99.0796051025391,100.0,1659.81624758221,2688.48940166354,7753540783.62452,3057453528.9653397,6410852595.57566,14378016732.1587,47.2,35.5,24.6,10.7
Germany,11.0,24.0,5.0,100.0,100.0,7212.437447687571,7035.4829747167605,1764967948916.6,1949953934033.54,2861410272354.18,3477796274496.8,8.5,5.4,4.7,3.8
Ghana,20.0,57.0,22.0,55.09345007577029,79.3,296.74281573297696,354.714052962992,5889174825.4869995,4983024408.14828,10731634116.7384,42803583022.1495,126.9,100.1,86.9,58.8
Greece,17.0,80.0,11.0,100.0,100.0,5434.576468540689,5062.60642155232,97891090928.6328,130133845771.144,247783001865.44,192690813126.86,10.5,6.4,4.6,3.8
Grenada,1.0,29.0,4.0,87.9810028076172,92.34436798095699,,,278098777.77777797,520044370.37037003,695370296.296296,1056188592.5925901,22.4,15.7,15.0,16.0
Guatemala,15.0,37.0,14.0,83.730998,91.7792282104492,533.029464489385,577.885885937936,7650125217.35253,19288827158.9035,27211377225.2715,68663653469.1246,81.8,51.9,42.7,28.5
Guinea,19.0,76.0,29.0,21.9521045684814,33.5,,,2666616176.91609,2995360969.1619897,2937071767.25576,9275886921.70086,234.8,165.8,132.2,89.0
Guinea-Bissau,10.0,41.0,14.0,14.5361990950226,14.6557903289795,,,243961995.509785,370173838.651652,586795675.416201,1178204501.4405901,219.2,174.2,145.0,88.1
Guyana,15.0,32.0,11.0,73.3825878594249,84.24290466308591,,,396582263.291139,712667896.727512,824880550.343965,3504024213.0750604,60.1,46.4,41.5,32.4
Haiti,15.0,30.0,5.0,33.9,38.69016647338871,37.4091724952885,38.969148730296205,,3953846310.66081,4310358095.62898,7970649131.234159,144.9,104.5,89.8,67.0
Honduras,12.0,43.0,7.0,71.266448,87.57662963867192,591.136453865499,630.135530789573,3048881322.9572,7103507989.050441,9672035709.39793,21643936938.9096,58.1,37.3,29.4,18.7
"Hong Kong SAR, China",20.0,15.0,4.0,100.0,100.0,5882.80760088084,6083.2699356802,76928290841.8701,171668164082.555,181570082162.19,320881182123.855,,,,
Hungary,13.0,9.0,3.0,100.0,100.0,3882.4906641301,3965.9582334833503,,47310623887.2319,113035361316.74901,125816640420.569,17.3,10.1,7.6,5.2
Iceland,7.0,16.0,6.0,100.0,100.0,31328.3868036948,53832.4790919587,6372905073.10779,8927140438.333158,16691490113.795,20304098101.4115,6.4,4.1,3.1,2.1
India,89.0,228.0,94.0,67.9,84.5268173217773,510.75161794905296,805.5991906025599,316697337894.513,462146799337.698,808901077222.8391,2274229710530.03,125.9,91.5,74.4,43.0
Indonesia,153.0,163.0,191.0,90.62,97.62,514.866540767666,811.9001839038721,106140727357.032,165021012077.81,285868618224.01697,932256495234.2471,84.3,52.3,41.5,26.4
"Iran, Islamic Rep.",27.0,46.0,19.0,98.4,100.0,2200.2058744413002,2985.68728005982,124813263926.246,109591707802.23,226452138291.545,418976711586.86206,56.7,34.3,25.6,15.1
Iraq,17.0,18.0,15.0,97.62211156493031,100.0,972.9975313662629,1305.6874691482199,179885815374.719,,49954890353.2609,171489001692.047,54.2,45.0,41.0,31.2
Ireland,9.0,27.0,5.0,100.0,100.0,6351.099110794649,5672.06413410796,49364681255.6988,99853528653.0311,211650764830.245,304819018067.107,9.2,7.2,5.2,3.6
Israel,18.0,45.0,15.0,100.0,100.0,6711.22956746105,6600.8982801222,,132339311284.42801,142462925574.34802,317747542489.389,11.6,6.9,5.6,3.6
Italy,17.0,51.0,8.0,100.0,100.0,5833.46729676,5002.40667987736,1177326294440.85,1141759996314.72,1852661982340.5,1859383610248.72,9.7,5.6,4.5,3.3
Jamaica,10.0,31.0,6.0,89.3138961791992,98.2042694091797,2366.78973393632,1055.5234694123599,4592224067.37194,8985352831.94058,11204416000.0,14056908749.3505,30.2,22.0,19.9,15.3
Japan,49.0,77.0,29.0,100.0,100.0,8542.478139127441,7819.7146359093595,3132817652848.04,4887519660744.86,4755410630912.14,4949273341993.88,6.3,4.5,3.7,2.7
Jordan,14.0,15.0,13.0,99.12063598632808,100.0,1695.0803406405403,1888.11695268617,4160003917.4325795,8460424400.564179,12588665303.244,38654727746.4789,36.5,27.9,24.3,17.6
Kazakhstan,27.0,14.0,16.0,99.766547651744,100.0,4261.21257238986,5600.208464865079,26932729102.7371,18291994909.0044,57123671733.8953,137278320084.17099,52.2,43.0,32.1,11.4
Kenya,43.0,73.0,30.0,22.8631324768066,56.0,138.049041820898,166.738186934062,8572359162.856309,12705357103.0056,18737897744.7948,70875289605.3804,98.1,100.8,81.0,49.2
Kiribati,6.0,14.0,1.0,64.19097900390629,84.9362716674805,,,39809538.6776989,67254174.3970315,112133944.253532,181551516.503122,95.8,70.6,64.6,54.3
"Korea, Dem. Peopleâ€™s Rep.",29.0,18.0,10.0,21.6286315917969,39.244224548339794,785.0431757122299,600.28595700739,,,,,43.4,60.0,33.0,20.0
"Korea, Rep.",33.0,27.0,11.0,100.0,100.0,8039.7962834858,10496.5136719641,279349355713.801,561633125839.994,898137194716.188,1414804158515.26,15.7,7.5,5.5,3.4
Kuwait,11.0,17.0,7.0,100.0,100.0,17738.924424694298,15213.4198733625,18427777777.7778,37711864406.7797,80797945205.4795,110912280701.754,17.6,12.7,11.8,8.4
Kyrgyz Republic,15.0,3.0,5.0,99.4641265869141,99.99610137939449,1377.43369615208,1941.2218318910102,2674000000.0,1369693171.43504,2460248026.17783,6813092065.835071,65.4,49.4,39.4,21.1
Lao PDR,25.0,55.0,45.0,57.041058703766495,87.0957717895508,,,865559856.1639,1731198022.45494,2735558726.25625,15805707154.2329,161.6,116.5,96.2,63.9
